section,col1,col2,col3,col4,col5,col6,col7
Q1_sentiment_summary,Negative,85,-2.50,-12.03,5.85,,
Q1_sentiment_summary,Neutral,1828,0.06,-9.44,15.61,,
Q1_sentiment_summary,Positive,87,2.74,-2.92,21.14,,
Q10_rolling7,AAPL,2024-10-23,0.0000,-1.42,0.0000,,
Q10_rolling7,AAPL,2024-10-24,-0.0366,0.26,-0.0183,,
Q10_rolling7,AAPL,2024-10-25,0.0391,0.73,0.0008,,
Q10_rolling7,AAPL,2024-10-28,-0.0069,0.03,-0.0011,,
Q10_rolling7,AAPL,2024-10-29,-0.0968,0.24,-0.0202,,
Q10_rolling7,AAPL,2024-10-30,-0.3319,-1.08,-0.0722,,
Q10_rolling7,AAPL,2024-10-31,-0.3018,-1.50,-0.1050,,
Q10_rolling7,AAPL,2024-11-01,-0.0747,0.88,-0.1157,,
Q10_rolling7,AAPL,2024-11-04,0.0310,0.46,-0.1060,,
Q10_rolling7,AAPL,2024-11-05,0.1600,0.74,-0.0887,,
Q10_rolling7,AAPL,2024-11-06,0.1086,0.05,-0.0722,,
Q10_rolling7,AAPL,2024-11-07,0.0842,1.27,-0.0464,,
Q10_rolling7,AAPL,2024-11-08,-0.0322,-0.09,-0.0036,,
Q10_rolling7,AAPL,2024-11-11,-0.0721,-0.34,0.0293,,
Q10_rolling7,AAPL,2024-11-12,-0.0954,-0.14,0.0263,,
Q10_rolling7,AAPL,2024-11-13,-0.1508,0.50,0.0003,,
Q10_rolling7,AAPL,2024-11-14,-0.0169,1.42,-0.0249,,
Q10_rolling7,AAPL,2024-11-15,-0.0336,-0.62,-0.0453,,
Q10_rolling7,AAPL,2024-11-18,0.0233,1.23,-0.0540,,
Q10_rolling7,AAPL,2024-11-19,-0.0350,0.57,-0.0544,,
Q10_rolling7,AAPL,2024-11-20,-0.1123,0.41,-0.0601,,
Q10_rolling7,AAPL,2024-11-21,-0.1373,-0.16,-0.0661,,
Q10_rolling7,AAPL,2024-11-22,-0.1198,0.79,-0.0617,,
Q10_rolling7,AAPL,2024-11-25,0.0480,0.61,-0.0524,,
Q10_rolling7,AAPL,2024-11-26,-0.0231,0.74,-0.0509,,
Q10_rolling7,AAPL,2024-11-27,0.0566,0.20,-0.0461,,
Q10_rolling7,AAPL,2024-11-29,0.1513,1.07,-0.0195,,
Q10_rolling7,AAPL,2024-12-02,0.1156,0.98,0.0130,,
Q10_rolling7,AAPL,2024-12-03,0.3272,1.18,0.0794,,
Q10_rolling7,AAPL,2024-12-04,0.1066,0.06,0.1117,,
Q10_rolling7,AAPL,2024-12-05,-0.1762,-0.39,0.0797,,
Q10_rolling7,AAPL,2024-12-06,-0.0791,-0.03,0.0717,,
Q10_rolling7,AAPL,2024-12-09,0.0078,2.03,0.0647,,
Q10_rolling7,AAPL,2024-12-10,0.1330,0.36,0.0621,,
Q10_rolling7,AAPL,2024-12-11,0.0573,-0.59,0.0538,,
Q10_rolling7,AAPL,2024-12-12,0.0737,0.43,0.0176,,
Q10_rolling7,AAPL,2024-12-13,0.0822,0.13,0.0141,,
Q10_rolling7,AAPL,2024-12-16,0.0528,1.23,0.0468,,
Q10_rolling7,AAPL,2024-12-17,0.1230,1.36,0.0757,,
Q10_rolling7,AAPL,2024-12-18,-0.0784,-1.63,0.0634,,
Q10_rolling7,AAPL,2024-12-19,-0.0500,0.93,0.0372,,
Q10_rolling7,AAPL,2024-12-20,0.2368,2.60,0.0629,,
Q10_rolling7,AAPL,2024-12-23,0.1192,0.20,0.0694,,
Q10_rolling7,AAPL,2024-12-24,-0.0643,1.06,0.0484,,
Q10_rolling7,AAPL,2024-12-26,-0.0432,0.32,0.0347,,
Q10_rolling7,AAPL,2024-12-27,-0.0876,-0.87,0.0046,,
Q10_rolling7,AAPL,2024-12-30,-0.1609,-0.01,-0.0071,,
Q10_rolling7,AAPL,2024-12-31,-0.1668,-0.80,-0.0238,,
Q10_rolling7,AAPL,2025-01-02,-0.0776,-2.04,-0.0687,,
Q10_rolling7,AAPL,2025-01-03,-0.1179,0.00,-0.1026,,
Q10_rolling7,AAPL,2025-01-06,-0.1051,0.28,-0.1084,,
Q10_rolling7,AAPL,2025-01-07,0.1118,-0.32,-0.0863,,
Q10_rolling7,AAPL,2025-01-08,0.0881,0.32,-0.0612,,
Q10_rolling7,AAPL,2025-01-10,-0.1622,-1.32,-0.0614,,
Q10_rolling7,AAPL,2025-01-13,-0.0949,0.37,-0.0511,,
Q10_rolling7,AAPL,2025-01-14,0.0074,-0.63,-0.0390,,
Q10_rolling7,AAPL,2025-01-15,0.1012,1.38,-0.0077,,
Q10_rolling7,AAPL,2025-01-16,-0.1779,-3.83,-0.0181,,
Q10_rolling7,AAPL,2025-01-17,-0.3526,-0.92,-0.0844,,
Q10_rolling7,AAPL,2025-01-21,-0.0643,-0.61,-0.1062,,
Q10_rolling7,AAPL,2025-01-22,0.0627,1.84,-0.0741,,
Q10_rolling7,AAPL,2025-01-23,0.0075,-0.48,-0.0594,,
Q10_rolling7,AAPL,2025-01-24,-0.1068,-0.89,-0.0757,,
Q10_rolling7,AAPL,2025-01-27,0.1914,2.61,-0.0629,,
Q10_rolling7,AAPL,2025-01-28,0.3874,3.21,0.0179,,
Q10_rolling7,AAPL,2025-01-29,0.2910,2.24,0.1098,,
Q10_rolling7,AAPL,2025-01-30,0.1296,-0.45,0.1375,,
Q10_rolling7,AAPL,2025-01-31,-0.2380,-4.53,0.0946,,
Q10_rolling7,AAPL,2025-02-03,-0.3368,-0.86,0.0454,,
Q10_rolling7,AAPL,2025-02-04,0.0523,2.44,0.0681,,
Q10_rolling7,AAPL,2025-02-05,0.3432,1.72,0.0898,,
Q10_rolling7,AAPL,2025-02-06,0.2882,0.83,0.0756,,
Q10_rolling7,AAPL,2025-02-07,-0.0336,-2.14,0.0293,,
Q10_rolling7,AAPL,2025-02-10,-0.0772,-0.84,-0.0003,,
Q10_rolling7,AAPL,2025-02-11,0.2130,1.94,0.0642,,
Q10_rolling7,AAPL,2025-02-12,0.3798,2.45,0.1665,,
Q10_rolling7,AAPL,2025-02-13,0.1701,1.95,0.1834,,
Q10_rolling7,AAPL,2025-02-14,0.0423,1.39,0.1404,,
Q10_rolling7,AAPL,2025-02-18,0.2288,0.13,0.1319,,
Q10_rolling7,AAPL,2025-02-19,0.2778,0.09,0.1764,,
Q10_rolling7,AAPL,2025-02-20,0.1486,0.36,0.2086,,
Q10_rolling7,AAPL,2025-02-21,-0.0387,-0.16,0.1727,,
Q10_rolling7,AAPL,2025-02-24,-0.0697,0.89,0.1085,,
Q10_rolling7,AAPL,2025-02-25,-0.0406,-0.39,0.0784,,
Q10_rolling7,AAPL,2025-02-26,-0.1109,-1.62,0.0565,,
Q10_rolling7,AAPL,2025-02-27,-0.0994,-0.88,0.0096,,
Q10_rolling7,AAPL,2025-02-28,0.0767,2.06,-0.0191,,
Q10_rolling7,AAPL,2025-03-03,-0.0389,-1.56,-0.0459,,
Q10_rolling7,AAPL,2025-03-04,-0.1832,-0.75,-0.0666,,
Q10_rolling7,AAPL,2025-03-05,-0.0648,0.14,-0.0659,,
Q10_rolling7,AAPL,2025-03-06,-0.0279,0.38,-0.0641,,
Q10_rolling7,AAPL,2025-03-07,-0.0427,1.68,-0.0543,,
Q10_rolling7,AAPL,2025-03-10,-0.2101,-3.42,-0.0701,,
Q10_rolling7,AAPL,2025-03-11,-0.2953,-1.33,-0.1233,,
Q10_rolling7,AAPL,2025-03-12,-0.2068,-1.44,-0.1473,,
Q10_rolling7,AAPL,2025-03-13,-0.3204,-2.90,-0.1669,,
Q10_rolling7,AAPL,2025-03-14,-0.1255,1.06,-0.1755,,
Q10_rolling7,AAPL,2025-03-17,0.1410,0.32,-0.1514,,
Q10_rolling7,AAPL,2025-03-18,-0.1708,-0.69,-0.1697,,
Q10_rolling7,AAPL,2025-03-19,-0.1187,0.48,-0.1566,,
Q10_rolling7,AAPL,2025-03-20,0.1059,0.05,-0.0993,,
Q10_rolling7,AAPL,2025-03-21,0.2005,3.17,-0.0411,,
Q10_rolling7,AAPL,2025-03-24,0.2294,-0.12,0.0374,,
Q10_rolling7,AAPL,2025-03-25,0.1609,1.35,0.0783,,
Q10_rolling7,AAPL,2025-03-26,-0.0114,-0.89,0.0565,,
Q10_rolling7,AAPL,2025-03-27,0.0355,1.11,0.0860,,
Q10_rolling7,AAPL,2025-03-28,0.0318,-1.70,0.1075,,
Q10_rolling7,AAPL,2025-03-31,-0.0439,2.36,0.0861,,
Q10_rolling7,AAPL,2025-04-01,0.2291,1.54,0.0902,,
Q10_rolling7,AAPL,2025-04-02,0.0671,1.16,0.0670,,
Q10_rolling7,AAPL,2025-04-03,-0.0194,-1.14,0.0413,,
Q10_rolling7,AAPL,2025-04-04,-0.1402,-2.84,0.0229,,
Q10_rolling7,AAPL,2025-04-07,-0.1078,2.40,0.0024,,
Q10_rolling7,AAPL,2025-04-08,-0.1174,-7.65,-0.0189,,
Q10_rolling7,AAPL,2025-04-09,0.4646,15.64,0.0537,,
Q10_rolling7,AAPL,2025-04-10,0.5638,0.71,0.1015,,
Q10_rolling7,AAPL,2025-04-11,0.2524,6.48,0.1280,,
Q10_rolling7,AAPL,2025-04-14,0.0644,-4.22,0.1400,,
Q10_rolling7,AAPL,2025-04-15,-0.3526,0.14,0.1096,,
Q10_rolling7,AAPL,2025-04-16,-0.1831,-2.06,0.0989,,
Q10_rolling7,AAPL,2025-04-17,-0.1010,-0.11,0.1012,,
Q10_rolling7,AAPL,2025-04-21,-0.0035,-0.06,0.0343,,
Q10_rolling7,AAPL,2025-04-22,0.1135,1.85,-0.0300,,
Q10_rolling7,AAPL,2025-04-23,-0.0031,-0.68,-0.0665,,
Q10_rolling7,AAPL,2025-04-24,0.0503,1.70,-0.0685,,
Q10_rolling7,AAPL,2025-04-25,0.1222,1.41,-0.0007,,
Q10_rolling7,AAPL,2025-04-28,-0.0522,0.07,0.0180,,
Q10_rolling7,AAPL,2025-04-29,0.2056,1.21,0.0618,,
Q10_rolling7,AAPL,2025-04-30,0.2292,1.53,0.0951,,
Q10_rolling7,AAPL,2025-05-01,0.2115,2.03,0.1091,,
Q10_rolling7,AAPL,2025-05-02,0.0772,-0.36,0.1205,,
Q10_rolling7,AAPL,2025-05-05,-0.3038,-2.07,0.0700,,
Q10_rolling7,AAPL,2025-05-06,-0.3368,0.15,0.0044,,
Q10_rolling7,AAPL,2025-05-07,-0.2428,-1.47,-0.0228,,
Q10_rolling7,AAPL,2025-05-08,0.0041,-0.12,-0.0516,,
Q10_rolling7,AAPL,2025-05-09,0.1286,-0.24,-0.0660,,
Q10_rolling7,AAPL,2025-05-12,0.0605,-0.09,-0.0876,,
